Mes,Índice (Ie​),Escenario Inicial (Mes Anterior),Análisis de Transición,Escenario Resultante
1,0.65,Normalidad,"Ie​ en rango [1,0.5), se mantiene en Normalidad.",Normalidad
2,0.40,Normalidad,"El Ie​ (0.40) está en el rango de Prealerta ([0.5,0.3)). El criterio de entrada a Prealerta desde Normalidad es Ie​<0.3 un mes o [0.5,0.3] durante 2 meses consecutivos. Como solo ha pasado 1 mes en el rango [0.5,0.3], permanece.",Normalidad
3,0.35,Normalidad,"El Ie​ (0.35) está en el rango [0.5,0.3]. Se han acumulado 2 meses consecutivos (Mes 2 y 3) en este rango, lo que cumple la condición de entrada a Prealerta desde Normalidad.",Prealerta
4,0.10,Prealerta,"El Ie​ (0.10) es <0.15 (rango de Emergencia). El criterio de entrada a Emergencia desde Prealerta es <0.15 durante 2 meses consecutivos. Como solo ha pasado 1 mes, no entra a Emergencia.",Prealerta
5,0.12,Prealerta,"El Ie​ (0.12) está en el rango [0.3,0.15] (rango de Alerta). El criterio de entrada a Alerta desde Prealerta es [0.3,0.15] durante 2 meses consecutivos o <0.15 un mes. En el mes anterior (0.10) se cumplió Ie​<0.15, por lo que se cumple el criterio de entrada a Alerta.",Alerta
6,0.80,Alerta,El Ie​ (0.80) es ≥0.5. La condición de salida de Alerta a Normalidad es Ie​≥0.5 durante 1 mes.,Normalidad
7,0.05,Normalidad,El Ie​ (0.05) es <0.15. El criterio de entrada a Alerta desde Normalidad es <0.15 en un mes.,Alerta
8,0.08,Alerta,"El Ie​ (0.08) es <0.15. Se han acumulado 2 meses consecutivos (Mes 7 y 8) con Ie​<0.15, lo que cumple la condición de entrada a Emergencia desde Alerta.",Emergencia
9,0.20,Emergencia,"El Ie​ (0.20) está en el rango [0.3,0.15]. La condición de salida de Emergencia a Alerta es Ie​ en el rango [0.3,0.15] durante 1 mes.",Alerta
10,0.45,Alerta,"El Ie​ (0.45) está en el rango [0.5,0.3]. La condición de salida de Alerta a Prealerta es Ie​ en el rango [0.5,0.3] durante 1 mes.",Prealerta
